"","age","sex","mx","location","sex_age_cat"
"Australia.1",0,"male",0.00358687580121517,"Australia","male_0"
"Australia.2",0,"female",0.00294063134292598,"Australia","female_0"
"Australia.3",1,"male",0.00023410507281475,"Australia","male_1"
"Australia.4",1,"female",0.000203190736213509,"Australia","female_1"
"Australia.5",2,"male",0.000152478915668857,"Australia","male_2"
"Australia.6",2,"female",0.000141023221100545,"Australia","female_2"
"Australia.7",3,"male",0.000127873545438421,"Australia","male_3"
"Australia.8",3,"female",0.0000867880397402434,"Australia","female_3"
"Australia.9",4,"male",0.000103253079371249,"Australia","male_4"
"Australia.10",4,"female",0.000077003535745683,"Australia","female_4"
"Australia.11",5,"male",0.0000652539193135288,"Australia","male_5"
"Australia.12",5,"female",0.0000774828407792191,"Australia","female_5"
"Australia.13",6,"male",0.0000592745207450603,"Australia","male_6"
"Australia.14",6,"female",0.0000710520876395205,"Australia","female_6"
"Australia.15",7,"male",0.0000814333905402902,"Australia","male_7"
"Australia.16",7,"female",0.0000427564209455155,"Australia","female_7"
"Australia.17",8,"male",0.0000823451910408432,"Australia","male_8"
"Australia.18",8,"female",0.0000586659366016778,"Australia","female_8"
"Australia.19",9,"male",0.0000926858505780508,"Australia","male_9"
"Australia.20",9,"female",0.0000715140167472825,"Australia","female_9"
"Australia.21",10,"male",0.0000705730950453536,"Australia","male_10"
"Australia.22",10,"female",0.0000460756694136542,"Australia","female_10"
"Australia.23",11,"male",0.0000688909843229954,"Australia","male_11"
"Australia.24",11,"female",0.0000454423586401829,"Australia","female_11"
"Australia.25",12,"male",0.000113916586254959,"Australia","male_12"
"Australia.26",12,"female",0.0000663222646210985,"Australia","female_12"
"Australia.27",13,"male",0.000133316160404197,"Australia","male_13"
"Australia.28",13,"female",0.000115416798915082,"Australia","female_13"
"Australia.29",14,"male",0.000163288210591195,"Australia","male_14"
"Australia.30",14,"female",0.000106325651305027,"Australia","female_14"
"Australia.31",15,"male",0.000188260359485452,"Australia","male_15"
"Australia.32",15,"female",0.000154577050621569,"Australia","female_15"
"Australia.33",16,"male",0.000259210346961988,"Australia","male_16"
"Australia.34",16,"female",0.000184086435661791,"Australia","female_16"
"Australia.35",17,"male",0.000401291226576565,"Australia","male_17"
"Australia.36",17,"female",0.000203672587058459,"Australia","female_17"
"Australia.37",18,"male",0.00049780513191836,"Australia","male_18"
"Australia.38",18,"female",0.000209080455068156,"Australia","female_18"
"Australia.39",19,"male",0.000555984299667239,"Australia","male_19"
"Australia.40",19,"female",0.000240300069250111,"Australia","female_19"
"Australia.41",20,"male",0.000585358370523775,"Australia","male_20"
"Australia.42",20,"female",0.000231986755665222,"Australia","female_20"
"Australia.43",21,"male",0.000540311971433941,"Australia","male_21"
"Australia.44",21,"female",0.000193260552231748,"Australia","female_21"
"Australia.45",22,"male",0.000567782808134236,"Australia","male_22"
"Australia.46",22,"female",0.000248175613791473,"Australia","female_22"
"Australia.47",23,"male",0.000602256356184294,"Australia","male_23"
"Australia.48",23,"female",0.000194605980127295,"Australia","female_23"
"Australia.49",24,"male",0.000633464394932285,"Australia","male_24"
"Australia.50",24,"female",0.000197685386531412,"Australia","female_24"
"Australia.51",25,"male",0.000638184076219485,"Australia","male_25"
"Australia.52",25,"female",0.000259959706245532,"Australia","female_25"
"Australia.53",26,"male",0.000593183585839579,"Australia","male_26"
"Australia.54",26,"female",0.00025315952123918,"Australia","female_26"
"Australia.55",27,"male",0.000621324201642781,"Australia","male_27"
"Australia.56",27,"female",0.000265868352626513,"Australia","female_27"
"Australia.57",28,"male",0.000669202017399252,"Australia","male_28"
"Australia.58",28,"female",0.00025640198092943,"Australia","female_28"
"Australia.59",29,"male",0.0006810504522175,"Australia","male_29"
"Australia.60",29,"female",0.000277452591407204,"Australia","female_29"
"Australia.61",30,"male",0.000821148985386114,"Australia","male_30"
"Australia.62",30,"female",0.000318533235433853,"Australia","female_30"
"Australia.63",31,"male",0.000685979344399741,"Australia","male_31"
"Australia.64",31,"female",0.000350839700094388,"Australia","female_31"
"Australia.65",32,"male",0.000841825106239064,"Australia","male_32"
"Australia.66",32,"female",0.000385156708385977,"Australia","female_32"
"Australia.67",33,"male",0.000836670822438224,"Australia","male_33"
"Australia.68",33,"female",0.00037274880530389,"Australia","female_33"
"Australia.69",34,"male",0.000874027344305795,"Australia","male_34"
"Australia.70",34,"female",0.000477012912246073,"Australia","female_34"
"Australia.71",35,"male",0.000958470698317077,"Australia","male_35"
"Australia.72",35,"female",0.000534996928021173,"Australia","female_35"
"Australia.73",36,"male",0.00105820723354673,"Australia","male_36"
"Australia.74",36,"female",0.000498174973782815,"Australia","female_36"
"Australia.75",37,"male",0.00115419428127107,"Australia","male_37"
"Australia.76",37,"female",0.000563872677549409,"Australia","female_37"
"Australia.77",38,"male",0.00118022568421756,"Australia","male_38"
"Australia.78",38,"female",0.000642129051368253,"Australia","female_38"
"Australia.79",39,"male",0.00126765356474392,"Australia","male_39"
"Australia.80",39,"female",0.000666502150313108,"Australia","female_39"
"Australia.81",40,"male",0.00127891435330489,"Australia","male_40"
"Australia.82",40,"female",0.000749660210669385,"Australia","female_40"
"Australia.83",41,"male",0.00145613088246188,"Australia","male_41"
"Australia.84",41,"female",0.000760155231699947,"Australia","female_41"
"Australia.85",42,"male",0.00154766730853687,"Australia","male_42"
"Australia.86",42,"female",0.000901127457144055,"Australia","female_42"
"Australia.87",43,"male",0.00155641223335903,"Australia","male_43"
"Australia.88",43,"female",0.000968247187811477,"Australia","female_43"
"Australia.89",44,"male",0.00179985601151908,"Australia","male_44"
"Australia.90",44,"female",0.00112689692662671,"Australia","female_44"
"Australia.91",45,"male",0.00191151406116845,"Australia","male_45"
"Australia.92",45,"female",0.00115394461830034,"Australia","female_45"
"Australia.93",46,"male",0.00200399620419542,"Australia","male_46"
"Australia.94",46,"female",0.00117468681273315,"Australia","female_46"
"Australia.95",47,"male",0.00231095107410255,"Australia","male_47"
"Australia.96",47,"female",0.00127424834397883,"Australia","female_47"
"Australia.97",48,"male",0.00235077982804994,"Australia","male_48"
"Australia.98",48,"female",0.0014714866480346,"Australia","female_48"
"Australia.99",49,"male",0.00256214350638231,"Australia","male_49"
"Australia.100",49,"female",0.00156340620823562,"Australia","female_49"
"Australia.101",50,"male",0.00265931074271394,"Australia","male_50"
"Australia.102",50,"female",0.00166927220164462,"Australia","female_50"
"Australia.103",51,"male",0.00295030881841925,"Australia","male_51"
"Australia.104",51,"female",0.0019694411981128,"Australia","female_51"
"Australia.105",52,"male",0.0032597088742764,"Australia","male_52"
"Australia.106",52,"female",0.00203491462253202,"Australia","female_52"
"Australia.107",53,"male",0.00343535628038907,"Australia","male_53"
"Australia.108",53,"female",0.00218986965460354,"Australia","female_53"
"Australia.109",54,"male",0.00389686511693816,"Australia","male_54"
"Australia.110",54,"female",0.00238194795495726,"Australia","female_54"
"Australia.111",55,"male",0.0041364466672274,"Australia","male_55"
"Australia.112",55,"female",0.00263824575531843,"Australia","female_55"
"Australia.113",56,"male",0.00461279549358656,"Australia","male_56"
"Australia.114",56,"female",0.00270195197090983,"Australia","female_56"
"Australia.115",57,"male",0.00488696763318516,"Australia","male_57"
"Australia.116",57,"female",0.00293656116316471,"Australia","female_57"
"Australia.117",58,"male",0.00524897839843505,"Australia","male_58"
"Australia.118",58,"female",0.00337505273519899,"Australia","female_58"
"Australia.119",59,"male",0.00593524667255679,"Australia","male_59"
"Australia.120",59,"female",0.00333634169567588,"Australia","female_59"
"Australia.121",60,"male",0.0064055654753193,"Australia","male_60"
"Australia.122",60,"female",0.00390381157354352,"Australia","female_60"
"Australia.123",61,"male",0.0067795438497736,"Australia","male_61"
"Australia.124",61,"female",0.00404086448858848,"Australia","female_61"
"Australia.125",62,"male",0.0076854264711602,"Australia","male_62"
"Australia.126",62,"female",0.00446200792809765,"Australia","female_62"
"Australia.127",63,"male",0.00819175324345901,"Australia","male_63"
"Australia.128",63,"female",0.00477147855595632,"Australia","female_63"
"Australia.129",64,"male",0.00874458665249061,"Australia","male_64"
"Australia.130",64,"female",0.00500682981629709,"Australia","female_64"
"Australia.131",65,"male",0.00946305420074329,"Australia","male_65"
"Australia.132",65,"female",0.00560672595739734,"Australia","female_65"
"Australia.133",66,"male",0.0106044686091051,"Australia","male_66"
