"year","age","sex","join_variable","rate","age_cohort","location","assumption"
2017,17,"male","2017_17",0.000370068466889002,17,"Australia","high"
2018,18,"male","2018_18",0.000430092476510925,17,"Australia","high"
2019,19,"male","2019_19",0.000490120089230741,17,"Australia","high"
2020,20,"male","2020_20",0.00051013009423393,17,"Australia","high"
2021,21,"male","2021_21",0.000520135246887585,17,"Australia","high"
2022,22,"male","2022_22",0.000530140499645432,17,"Australia","high"
2023,23,"male","2023_23",0.000530140499645432,17,"Australia","high"
2024,24,"male","2024_24",0.000520135246887585,17,"Australia","high"
2025,25,"male","2025_25",0.000520135246887585,17,"Australia","high"
2026,26,"male","2026_26",0.000520135246887585,17,"Australia","high"
2027,27,"male","2027_27",0.000520135246887585,17,"Australia","high"
2028,28,"male","2028_28",0.000530140499645432,17,"Australia","high"
2029,29,"male","2029_29",0.00055015130548127,17,"Australia","high"
2030,30,"male","2030_30",0.000590174118489954,17,"Australia","high"
2031,31,"male","2031_31",0.000630198533388422,17,"Australia","high"
2032,32,"male","2032_32",0.000680231304864163,17,"Australia","high"
2033,33,"male","2033_33",0.000730266579743379,17,"Australia","high"
2034,34,"male","2034_34",0.000790312214443727,17,"Australia","high"
2035,35,"male","2035_35",0.000850361454838941,17,"Australia","high"
2036,36,"male","2036_36",0.000920423459741929,17,"Australia","high"
2037,37,"male","2037_37",0.000970470754445855,17,"Australia","high"
2038,38,"male","2038_38",0.00104054117524742,17,"Australia","high"
2039,39,"male","2039_39",0.001100605444033,17,"Australia","high"
2040,40,"male","2040_40",0.00118069674816244,17,"Australia","high"
2041,41,"male","2041_41",0.00128081989972239,17,"Australia","high"
2042,42,"male","2042_42",0.0013709393079993,17,"Australia","high"
2043,43,"male","2043_43",0.00146106683851594,17,"Australia","high"
2044,44,"male","2044_44",0.00153117164523066,17,"Australia","high"
2045,45,"male","2045_45",0.00162131361890006,17,"Australia","high"
2046,46,"male","2046_46",0.00174151555830275,17,"Australia","high"
2047,47,"male","2047_47",0.00186173194794864,17,"Australia","high"
2048,48,"male","2048_48",0.00199198268079323,17,"Australia","high"
2049,49,"male","2049_49",0.00212225038110116,17,"Australia","high"
2050,50,"male","2050_50",0.00223249015271577,17,"Australia","high"
2051,51,"male","2051_51",0.00236278918918848,17,"Australia","high"
2052,52,"male","2052_52",0.00250313021811848,17,"Australia","high"
2053,53,"male","2053_53",0.00266354408624138,17,"Australia","high"
2054,54,"male","2054_54",0.00284404045173513,17,"Australia","high"
2055,55,"male","2055_55",0.00304463018622523,17,"Australia","high"
2056,56,"male","2056_56",0.00323522771003748,17,"Australia","high"
2057,57,"male","2057_57",0.00342586156819126,17,"Australia","high"
2058,58,"male","2058_58",0.00359645951440505,17,"Australia","high"
2059,59,"male","2059_59",0.00376708656924403,17,"Australia","high"
2060,60,"male","2060_60",0.00390762483101708,17,"Australia","high"
2061,61,"male","2061_61",0.00405822346085416,17,"Australia","high"
2062,62,"male","2062_62",0.00420884477405468,17,"Australia","high"
2063,63,"male","2063_63",0.00437957635931045,17,"Australia","high"
2064,64,"male","2064_64",0.00458047437410925,17,"Australia","high"
2065,65,"male","2065_65",0.0048015088161939,17,"Australia","high"
2066,66,"male","2066_66",0.00505274363665151,17,"Australia","high"
2067,67,"male","2066_67",0.00542468704522684,17,"Australia","high"
2068,68,"male","2066_68",0.00586717827804689,17,"Australia","high"
2069,69,"male","2066_69",0.00636018315268248,17,"Australia","high"
2070,70,"male","2066_70",0.00691384564411308,17,"Australia","high"
2071,71,"male","2066_71",0.00755849357787941,17,"Australia","high"
2072,72,"male","2066_72",0.00832455314623205,17,"Australia","high"
2073,73,"male","2066_73",0.00923248856360592,17,"Australia","high"
2074,74,"male","2066_74",0.0103129966084439,17,"Australia","high"
2075,75,"male","2066_75",0.0115767527605216,17,"Australia","high"
2076,76,"male","2066_76",0.0130447135208085,17,"Australia","high"
2077,77,"male","2066_77",0.0147685197051783,17,"Australia","high"
2078,78,"male","2066_78",0.0167901693074742,17,"Australia","high"
2079,79,"male","2066_79",0.0192235949677592,17,"Australia","high"
2080,80,"male","2066_80",0.0221433646856899,17,"Australia","high"
2081,81,"male","2066_81",0.0255742511194303,17,"Australia","high"
2082,82,"male","2066_82",0.0295421023809878,17,"Australia","high"
2083,83,"male","2066_83",0.0341671041730042,17,"Australia","high"
2084,84,"male","2066_84",0.0395935826604767,17,"Australia","high"
2085,85,"male","2066_85",0.0459392319414452,17,"Australia","high"
2086,86,"male","2066_86",0.0529051189949894,17,"Australia","high"
2087,87,"male","2066_87",0.0603234171831052,17,"Australia","high"
2088,88,"male","2066_88",0.0681075492146776,17,"Australia","high"
2089,89,"male","2066_89",0.0761577638497315,17,"Australia","high"
2090,90,"male","2066_90",0.0843277085240669,17,"Australia","high"
2091,91,"male","2066_91",0.0944645374606209,17,"Australia","high"
2092,92,"male","2066_92",0.106895025749778,17,"Australia","high"
2093,93,"male","2066_93",0.121828708365134,17,"Australia","high"
2094,94,"male","2066_94",0.139468985291276,17,"Australia","high"
2095,95,"male","2066_95",0.159816701453885,17,"Australia","high"
2096,96,"male","2066_96",0.178397266901801,17,"Australia","high"
2097,97,"male","2066_97",0.195248754120694,17,"Australia","high"
2098,98,"male","2066_98",0.210202647181409,17,"Australia","high"
2099,99,"male","2066_99",0.223118551626705,17,"Australia","high"
2100,100,"male","2066_100",0.25930195811749,17,"Australia","high"
2017,22,"male","2017_22",0.000590174118489954,22,"Australia","high"
2018,23,"male","2018_23",0.000600180072032461,22,"Australia","high"
2019,24,"male","2019_24",0.000590174118489954,22,"Australia","high"
2020,25,"male","2020_25",0.000590174118489954,22,"Australia","high"
2021,26,"male","2021_26",0.000580168265065663,22,"Australia","high"
2022,27,"male","2022_27",0.000590174118489954,22,"Australia","high"
2023,28,"male","2023_28",0.000600180072032461,22,"Australia","high"
2024,29,"male","2024_29",0.00062019227947958,22,"Australia","high"
2025,30,"male","2025_30",0.000650211341586356,22,"Australia","high"
2026,31,"male","2026_31",0.000690238159559667,22,"Australia","high"
2027,32,"male","2027_32",0.000730266579743379,22,"Australia","high"
2028,33,"male","2028_33",0.000790312214443727,22,"Australia","high"
2029,34,"male","2029_34",0.000840352997692503,22,"Australia","high"
2030,35,"male","2030_35",0.000900405243164155,22,"Australia","high"
2031,36,"male","2031_36",0.000960461095124461,22,"Australia","high"
2032,37,"male","2032_37",0.00102052055400685,22,"Australia","high"
2033,38,"male","2033_38",0.00109059448202957,22,"Australia","high"
2034,39,"male","2034_39",0.00117068498433992,22,"Australia","high"
2035,40,"male","2035_40",0.00126079446742279,22,"Australia","high"
2036,41,"male","2036_41",0.00138095307693173,22,"Australia","high"
2037,42,"male","2037_42",0.00147108151000972,22,"Australia","high"
2038,43,"male","2038_43",0.00157123374148514,22,"Australia","high"
2039,44,"male","2039_44",0.00165136274923049,22,"Australia","high"
2040,45,"male","2040_45",0.00175153303880638,22,"Australia","high"
2041,46,"male","2041_46",0.00187175063279603,22,"Australia","high"
2042,47,"male","2042_47",0.00200200267067308,22,"Australia","high"
2043,48,"male","2043_48",0.00215231456814273,22,"Australia","high"
2044,49,"male","2044_49",0.00228260315755214,22,"Australia","high"
2045,50,"male","2045_50",0.00240288461631031,22,"Australia","high"
2046,51,"male","2046_51",0.00254323127278163,22,"Australia","high"
2047,52,"male","2047_52",0.00269362455148816,22,"Australia","high"
2048,53,"male","2048_53",0.00286409761465013,22,"Australia","high"
2049,54,"male","2049_54",0.003064691372845,22,"Australia","high"
2050,55,"male","2050_55",0.0032753581339205,22,"Australia","high"
2051,56,"male","2051_56",0.00348606928483186,22,"Australia","high"
2052,57,"male","2052_57",0.00368678785799523,22,"Australia","high"
2053,58,"male","2053_58",0.0038775078264521,22,"Australia","high"
2054,59,"male","2054_59",0.00404818284656934,22,"Australia","high"
2055,60,"male","2055_60",0.00420884477405468,22,"Australia","high"
2056,61,"male","2056_61",0.00436953251794285,22,"Australia","high"
2057,62,"male","2057_62",0.0045302460865317,22,"Australia","high"
2058,63,"male","2058_63",0.00471107973011922,22,"Australia","high"
2059,64,"male","2059_64",0.00493214304556243,22,"Australia","high"
2060,65,"male","2060_65",0.00516330695688008,22,"Australia","high"
2061,66,"male","2061_66",0.00543474149004557,22,"Australia","high"
2062,67,"male","2062_67",0.00575653711237958,22,"Australia","high"
2063,68,"male","2063_68",0.0061388039594099,22,"Australia","high"
2064,69,"male","2064_69",0.00655141372197492,22,"Australia","high"
2065,70,"male","2065_70",0.00701454449421741,22,"Australia","high"
2066,71,"male","2066_71",0.00755849357787941,22,"Australia","high"
2067,72,"male","2066_72",0.00832455314623205,22,"Australia","high"
2068,73,"male","2066_73",0.00923248856360592,22,"Australia","high"
2069,74,"male","2066_74",0.0103129966084439,22,"Australia","high"
2070,75,"male","2066_75",0.0115767527605216,22,"Australia","high"
2071,76,"male","2066_76",0.0130447135208085,22,"Australia","high"
2072,77,"male","2066_77",0.0147685197051783,22,"Australia","high"
2073,78,"male","2066_78",0.0167901693074742,22,"Australia","high"
2074,79,"male","2066_79",0.0192235949677592,22,"Australia","high"
2075,80,"male","2066_80",0.0221433646856899,22,"Australia","high"
2076,81,"male","2066_81",0.0255742511194303,22,"Australia","high"
2077,82,"male","2066_82",0.0295421023809878,22,"Australia","high"
2078,83,"male","2066_83",0.0341671041730042,22,"Australia","high"
2079,84,"male","2066_84",0.0395935826604767,22,"Australia","high"
2080,85,"male","2066_85",0.0459392319414452,22,"Australia","high"
2081,86,"male","2066_86",0.0529051189949894,22,"Australia","high"
2082,87,"male","2066_87",0.0603234171831052,22,"Australia","high"
2083,88,"male","2066_88",0.0681075492146776,22,"Australia","high"
2084,89,"male","2066_89",0.0761577638497315,22,"Australia","high"
2085,90,"male","2066_90",0.0843277085240669,22,"Australia","high"
2086,91,"male","2066_91",0.0944645374606209,22,"Australia","high"
2087,92,"male","2066_92",0.106895025749778,22,"Australia","high"
2088,93,"male","2066_93",0.121828708365134,22,"Australia","high"
2089,94,"male","2066_94",0.139468985291276,22,"Australia","high"
2090,95,"male","2066_95",0.159816701453885,22,"Australia","high"
2091,96,"male","2066_96",0.178397266901801,22,"Australia","high"
2092,97,"male","2066_97",0.195248754120694,22,"Australia","high"
2093,98,"male","2066_98",0.210202647181409,22,"Australia","high"
2094,99,"male","2066_99",0.223118551626705,22,"Australia","high"
2095,100,"male","2066_100",0.25930195811749,22,"Australia","high"
2017,27,"male","2017_27",0.000660217895879456,27,"Australia","high"
2018,28,"male","2018_28",0.000670224550304687,27,"Australia","high"
2019,29,"male","2019_29",0.000690238159559667,27,"Australia","high"
2020,30,"male","2020_30",0.000720259324483277,27,"Australia","high"
2021,31,"male","2021_31",0.000750281390704177,27,"Australia","high"
2022,32,"male","2022_32",0.000790312214443727,27,"Australia","high"
2023,33,"male","2023_33",0.000840352997692503,27,"Australia","high"
2024,34,"male","2024_34",0.000900405243164155,27,"Australia","high"
2025,35,"male","2025_35",0.000950451535995455,27,"Australia","high"
2026,36,"male","2026_36",0.00101051039369398,27,"Australia","high"
2027,37,"male","2027_37",0.00107057285867566,27,"Australia","high"
2028,38,"male","2028_38",0.00113063893137362,27,"Australia","high"
2029,39,"male","2029_39",0.00121073264105679,27,"Australia","high"
2030,40,"male","2030_40",0.00130084573304807,27,"Australia","high"
2031,41,"male","2031_41",0.00142100915544693,27,"Australia","high"
2032,42,"male","2032_42",0.00152115637193874,27,"Australia","high"
2033,43,"male","2033_43",0.0016413462721255,27,"Australia","high"
2034,44,"male","2034_44",0.00174151555830275,27,"Australia","high"
2035,45,"male","2035_45",0.00186173194794864,27,"Australia","high"
2036,46,"male","2036_46",0.00201202276095413,27,"Australia","high"
2037,47,"male","2037_47",0.00215231456814273,27,"Australia","high"
2038,48,"male","2038_48",0.00231267216592871,27,"Australia","high"
2039,49,"male","2039_49",0.00246303077148554,27,"Australia","high"
2040,50,"male","2040_50",0.00259335985259933,27,"Australia","high"
2041,51,"male","2041_51",0.00274376067106327,27,"Australia","high"
2042,52,"male","2042_52",0.00289418411333609,27,"Australia","high"
2043,53,"male","2043_53",0.00308475296192416,27,"Australia","high"
2044,54,"male","2044_54",0.00329542394979727,27,"Australia","high"
2045,55,"male","2045_55",0.0035262097765582,27,"Australia","high"
2046,56,"male","2046_56",0.00374701128693468,27,"Australia","high"
2047,57,"male","2047_57",0.00396786156138552,27,"Australia","high"
2048,58,"male","2048_58",0.0041686768722197,27,"Australia","high"
2049,59,"male","2049_59",0.00435948877745286,27,"Australia","high"
2050,60,"male","2050_60",0.0045302460865317,27,"Australia","high"
2051,61,"male","2051_61",0.00470103255864902,27,"Australia","high"
2052,62,"male","2052_62",0.00487184820376782,27,"Australia","high"
2053,63,"male","2053_63",0.00507284514929092,27,"Australia","high"
2054,64,"male","2054_64",0.00530404159190601,27,"Australia","high"
2055,65,"male","2055_65",0.00556545847288161,27,"Australia","high"
2056,66,"male","2056_66",0.00584706079192726,27,"Australia","high"
2057,67,"male","2057_67",0.00619917524282106,27,"Australia","high"
2058,68,"male","2058_68",0.00660174363456248,27,"Australia","high"
2059,69,"male","2059_69",0.00705482687370294,27,"Australia","high"
2060,70,"male","2060_70",0.00755849357787941,27,"Australia","high"
2061,71,"male","2061_71",0.00813298323018899,27,"Australia","high"
2062,72,"male","2062_72",0.00882885993682051,27,"Australia","high"
2063,73,"male","2063_73",0.00964637705180545,27,"Australia","high"
2064,74,"male","2064_74",0.0106161524631893,27,"Australia","high"
2065,75,"male","2065_75",0.0117487470345481,27,"Australia","high"
2066,76,"male","2066_76",0.0130447135208085,27,"Australia","high"
2067,77,"male","2066_77",0.0147685197051783,27,"Australia","high"
2068,78,"male","2066_78",0.0167901693074742,27,"Australia","high"
2069,79,"male","2066_79",0.0192235949677592,27,"Australia","high"
2070,80,"male","2066_80",0.0221433646856899,27,"Australia","high"
2071,81,"male","2066_81",0.0255742511194303,27,"Australia","high"
2072,82,"male","2066_82",0.0295421023809878,27,"Australia","high"
2073,83,"male","2066_83",0.0341671041730042,27,"Australia","high"
2074,84,"male","2066_84",0.0395935826604767,27,"Australia","high"
2075,85,"male","2066_85",0.0459392319414452,27,"Australia","high"
2076,86,"male","2066_86",0.0529051189949894,27,"Australia","high"
2077,87,"male","2066_87",0.0603234171831052,27,"Australia","high"
2078,88,"male","2066_88",0.0681075492146776,27,"Australia","high"
2079,89,"male","2066_89",0.0761577638497315,27,"Australia","high"
2080,90,"male","2066_90",0.0843277085240669,27,"Australia","high"
2081,91,"male","2066_91",0.0944645374606209,27,"Australia","high"
2082,92,"male","2066_92",0.106895025749778,27,"Australia","high"
2083,93,"male","2066_93",0.121828708365134,27,"Australia","high"
2084,94,"male","2066_94",0.139468985291276,27,"Australia","high"
