"age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","deaths_rate_adaod","deaths_rate_allc","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_dmt2","deaths_rate_dprd","deaths_rate_espc","deaths_rate_hanc","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_mltm","deaths_rate_prkd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_dmt2","ylds_rate_dprd","ylds_rate_espc","ylds_rate_hanc","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_mltm","ylds_rate_prkd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_dmt2","dw_adj_dprd","dw_adj_espc","dw_adj_hanc","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_mltm","dw_adj_prkd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","dw_adj_rctc","ylds_rate_rctc","incidence_tbalc","prevalence_tbalc","remission_tbalc","case_fatality_tbalc","incidence_brsc","prevalence_brsc","remission_brsc","case_fatality_brsc","incidence_carc","prevalence_carc","remission_carc","case_fatality_carc","incidence_utrc","prevalence_utrc","remission_utrc","case_fatality_utrc","incidence_kdnc","prevalence_kdnc","remission_kdnc","case_fatality_kdnc","incidence_bldc","prevalence_bldc","remission_bldc","case_fatality_bldc","incidence_mltm","prevalence_mltm","remission_mltm","case_fatality_mltm","incidence_chml","prevalence_chml","remission_chml","case_fatality_chml","incidence_espc","prevalence_espc","remission_espc","case_fatality_espc","incidence_stmc","prevalence_stmc","remission_stmc","case_fatality_stmc","incidence_lvrc","prevalence_lvrc","remission_lvrc","case_fatality_lvrc","incidence_prsc","prevalence_prsc","remission_prsc","case_fatality_prsc","incidence_hanc","prevalence_hanc","remission_hanc","case_fatality_hanc","incidence_rctc","prevalence_rctc","remission_rctc","case_fatality_rctc","incidence_ishd","prevalence_ishd","remission_ishd","case_fatality_ishd","incidence_strk","prevalence_strk","remission_strk","case_fatality_strk","incidence_dmt2","prevalence_dmt2","remission_dmt2","case_fatality_dmt2","incidence_dprd","prevalence_dprd","remission_dprd","case_fatality_dprd","incidence_adaod","prevalence_adaod","remission_adaod","case_fatality_adaod","incidence_prkd","prevalence_prkd","remission_prkd","case_fatality_prkd"
0,"female","female_0",NA,NA,0.0328164412653353,NA,0.0000684606946502816,0.0000000786594916262576,0.00000000103381473777507,0.00000000665044278906462,0.00000000493206231914686,0.0000000111216190795404,0,0,0.0000000147121815642665,0.00000000621790403097365,0.000000239605492931739,0.0000000198749202244989,0,0,NA,0.000000000817001749944147,0.000000183339367757672,0.0000000307965231202905,0,NA,0.0380285983305108,0.00000148381776777215,0.0000000123667785232271,0.0000000458102802099443,0.0000000292856986807908,0.000000000642937181605858,0.00518518937803878,0,0.0000000515676769512894,0.00000000276977454575338,0.00000113215633634179,0.0000000181459698950471,0,0,NA,0.00000000159666085788841,0.000135681628760719,0.0000000468745716017847,0,NA,0.0438255102420204,0.0850702355057753,0.0682987841205162,0.114511652354498,0.0717111492793643,0.041583290195926,0.211198281064986,0,0.076833581315709,0.0000982830853654449,0.0686974913341686,0.0680448961423314,0,0,NA,0.0674468200483678,0.182286632776342,0.0659627144465011,0,0.114511652354498,0.0000000458102802099443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"female","female_1",NA,NA,0.0345437445916759,NA,0.0000726014286238327,0.0000000794752492791189,0.00000000142085282100455,0.00000000865879749105262,0.00000000595854694693104,0.000000013121225149178,0,0,0.0000000178322884454245,0.00000000788247477665912,0.000000247913889720297,0.0000000237729878041835,0,0,NA,0.00000000109616183765464,0.00000020570969388268,0.0000000356089856278044,0,NA,0.0400589281281011,0.0000014684587613164,0.0000000169328999849879,0.0000000586831771220865,0.0000000347685212910074,0.00000000109462722239192,0.00547954434884024,0,0.0000000625633263258568,0.00000000384682921777998,0.00000116414703849155,0.0000000210909422905479,0,0,NA,0.00000000210283906798071,0.000142354655242309,0.0000000526963316018593,0,NA,0.0461499183162602,0.0852756751652421,0.069445481817853,0.114842944329394,0.0722883887084711,0.0422821380975159,0.211391348676101,0,0.0768893342815972,0.0001218104375496,0.0690121267617398,0.0702201585542809,0,0,NA,0.0687930555605066,0.183497661411896,0.067112076486737,0,0.114842944329394,0.0000000586831771220865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"female","female_2",2,"0 to 4",0.0363619650518112,NA,0.000076992608169508,0.0000000802994669478594,0.0000000019527896683901,0.0000000112736514498464,0.00000000719866851255088,0.0000000154803494153241,0,0,0.0000000216140964419015,0.00000000999266124005099,0.000000256510382813959,0.0000000284355832755099,0,0,NA,0.00000000147070771196333,0.000000230809556479094,0.0000000411734744369812,0,NA,0.0421976563223707,0.00000145325873602696,0.0000000231849467800432,0.0000000751734165641413,0.0000000412778293575816,0.00000000186364825410888,0.00579060938411928,0,0.0000000759035510684911,0.00000000534270742485311,0.00000119704168384349,0.0000000245138644710657,0,0,NA,0.00000000276948741116757,0.000149355871198265,0.0000000592411465193506,0,NA,0.048597607850676,0.0854816109495101,0.0706114319166199,0.115175194760223,0.0728702746306528,0.0429927308222608,0.211584592780615,0,0.0769451277036654,0.000150969850415806,0.0693282032237704,0.0724649598564205,0,0,NA,0.0701661618732679,0.184716735565291,0.0682814654938833,0,0.115175194760223,0.0000000751734165641413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0
3,"female","female_3",NA,NA,0.038275888096618,NA,0.0000816493810811522,0.0000000811322323691596,0.00000000268387227205914,0.0000000146781602346002,0.00000000869689016720463,0.0000000182636312764999,0,0,0.00000002619793676115,0.0000000126677574603973,0.00000026540496204387,0.0000000340126534737115,0,0,NA,0.00000000197323159749508,0.00000025897200251758,0.0000000476075060079511,0,NA,0.0444505702550688,0.00000143821604628883,0.0000000317454043707811,0.0000000962974882251052,0.0000000490057998789355,0.00000000317293846160127,0.00611933308771326,0,0.0000000920882792388534,0.00000000742027290830802,0.00000123086581461011,0.0000000284923045650308,0,0,NA,0.00000000364747860994467,0.000156701417480323,0.0000000665988188218274,0,NA,0.0511751174210848,0.0856880440566918,0.071796957653675,0.115508406419881,0.0734568444478898,0.043715265753412,0.21177801353987,0,0.0770009616112701,0.000187109546546781,0.0696457273202174,0.0747815230712336,0,0,NA,0.0715666753266306,0.185943908687251,0.0694712304262224,0,0.115508406419881,0.0000000962974882251052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0
4,"female","female_4",NA,NA,0.0402905510606295,NA,0.0000865878113423291,0.0000000819736341895951,0.00000000368865653548151,0.0000000191107902201051,0.0000000105069289478393,0.0000000215473319403084,0,0,0.000000031753901551521,0.0000000160589932171696,0.000000274607963641755,0.0000000406835543028625,0,0,NA,0.00000000264746210663108,0.000000290570716009501,0.0000000550469606777076,0,NA,0.0468237662515234,0.00000142332906352081,0.0000000434665952967322,0.000000123357520015762,0.0000000581805889299549,0.00000000540205935262312,0.00646671791419371,0,0.000000111724037331547,0.000000010305720612295,0.00000126564569473581,0.0000000331164195014896,0,0,NA,0.00000000480381320975032,0.000164408228771578,0.0000000748703043249477,0,NA,0.0538893323948944,0.0858949756877931,0.0730023876928391,0.115842582089283,0.0740481358632303,0.0444499435914395,0.211971611115356,0,0.077056836033789,0.000231900490810029,0.0699647056812658,0.0771721422868897,0,0,NA,0.0729951429658956,0.187179234583601,0.0706817263224327,0,0.115842582089283,0.000000123357520015762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0004,0,0,0,0,0,0,0,0,0,0
5,"female","female_5",NA,NA,0.0424112564200078,NA,0.000091824934540569,0.0000000828237619750723,0.00000000506961049465719,0.0000000248820217928907,0.0000000126936817405419,0.0000000254214239609206,0,0,0.0000000384881554962353,0.0000000203580834220527,0.000000284130082251463,0.0000000486628187357753,0,0,NA,0.00000000355206941493593,0.000000326024976373816,0.0000000636489523174561,0,NA,0.0493236661171359,0.00000140859617599912,0.000000059515540725916,0.000000158021543707015,0.000000069073067608297,0.00000000919723013932509,0.00683382322588702,0,0.000000135546679999146,0.0000000143132036585564,0.00000130140833029041,0.0000000384909980902226,0,0,NA,0.00000000632673246972699,0.000172494072628294,0.000000084169097423588,0,NA,0.0567475033241627,0.0861024070467201,0.0742280562160115,0.116177724557393,0.0746441868832132,0.0451969684097812,0.212165385668709,0,0.0771127510006208,0.000287413649546134,0.0702851449674668,0.0796391849290763,0,0,NA,0.0744521227553632,0.188422767417629,0.0719133144075355,0,0.116177724557393,0.000000158021543707015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0009,0,0,0,0,0,0,0,0,0,0
6,"female","female_6",NA,NA,0.0446435857483542,NA,0.0000973788166332578,0.0000000836827062203638,0.00000000696756402238013,0.0000000323960967271025,0.0000000153355520847319,0.0000000299920564639345,0,0,0.0000000466505859476483,0.0000000258080662351947,0.000000293982383357028,0.0000000582070560915645,0,0,NA,0.00000000476577062120023,0.000000365805221803811,0.0000000735951464210523,0,NA,0.0519570345146157,0.00000139401578868296,0.0000000814901549964387,0.000000202426315577334,0.0000000820048190740115,0.0000000156586658372487,0.0072217685234374,0,0.000000164448966378367,0.0000000198790367678801,0.000001338181490439,0.0000000447378356804206,0,0,NA,0.00000000833245215743477,0.000180977590441866,0.0000000946227883668536,0,NA,0.059757265314182,0.0863103393402865,0.0754743030158153,0.116513836621241,0.0752450358203116,0.045956547711529,0.212359337361714,0,0.077168706541186,0.000356215744334488,0.0706070518698772,0.0821850941054553,0,0,NA,0.0759381837962768,0.189674561712459,0.0731663622006885,0,0.116513836621241,0.000000202426315577334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0.0015,0,0,0,0,0,0,0,0,0,0
7,"female","female_7",7,"5 to 9",0.0469934144070869,NA,0.000103268616267884,0.0000000845505583587397,0.00000000957607067784181,0.0000000421793330094922,0.0000000185272612430793,0.0000000353844636051322,0,0,0.0000000565440754746428,0.0000000327170426111281,0.000000304176316141666,0.0000000696232044683374,0,0,NA,0.00000000639417955020595,0.00000041043929145326,0.0000000850955966992511,0,NA,0.0547309972689784,0.00000137958632304181,0.000000111578342065737,0.000000259309030129386,0.0000000973576327823839,0.0000000266595281501364,0.00763173685976368,0,0.000000199514016448677,0.0000000276092000257746,0.00000137599372900429,0.0000000519984942109549,0,0,NA,0.0000000109740311113449,0.00018987834041534,0.000000106374813944591,0,NA,0.0629266584193329,0.0865187737782201,0.0767414735897982,0.116850921085951,0.0758507212953948,0.0467288924870673,0.212553466356305,0,0.0772247026849262,0.000441487927633743,0.0709304331101988,0.0848123910250682,0,0,NA,0.0774539065491146,0.190934672353439,0.0744412436248577,0,0.116850921085951,0.000000259309030129386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0024,0,0,0,0,0,0,0,0,0,0
8,"female","female_8",NA,NA,0.0494669270090523,NA,0.000109514650871629,0.0000000854274107717016,0.0000000131611463249529,0.0000000549169904051206,0.0000000223832443248689,0.0000000417463959541599,0,0,0.000000068535740898733,0.0000000414755940047399,0.000000314723726792669,0.0000000832784017252923,0,0,NA,0.00000000857899705420044,0.000000460519429268845,0.0000000983931812048168,0,NA,0.0576530606498391,0.00000136530621688452,0.000000152775834316217,0.000000332176045959569,0.000000115584776212174,0.0000000453889525822333,0.00806497844782113,0,0.000000242055901208263,0.0000000383453149649019,0.00000141487440663822,0.0000000604375101987788,0,0,NA,0.0000000144530513415921,0.000199216842653594,0.00000011958642560686,0,NA,0.0662641491206867,0.0867277115731704,0.0780299192362152,0.117188980764762,0.0764612822402114,0.0475142172726805,0.212747772814562,0,0.0772807394613042,0.000547172867416311,0.0712552954409189,0.0875236774950849,0,0,NA,0.0789998830603204,0.192203154590553,0.0757383391183998,0,0.117188980764762,0.000000332176045959569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0,0,0,0,0,0,0,0,0,0
9,"female","female_9",NA,NA,0.0520706336960671,NA,0.000116138466738269,0.0000000863133567988163,0.0000000180883974663665,0.0000000715012689858655,0.0000000270417532269603,0.0000000492521688221586,0,0,0.0000000830705558647734,0.0000000525788629031193,0.000000325636872267644,0.0000000996117924602729,0,0,NA,0.0000000115103415345303,0.000000516710142401788,0.000000113768731675033,0,NA,0.0607311316831787,0.00000135117392419018,0.0000002091844628527,0.000000425519024363624,0.000000137224376869153,0.0000000772765746231585,0.00852281447317007,0,0.000000293668887793737,0.0000000532562761103135,0.0000014548537136201,0.0000000702461233628944,0,0,NA,0.0000000190350009912717,0.000209014626471112,0.000000134438902021246,0,NA,0.0697786529427342,0.0869371539407152,0.0793399971514187,0.11752801847905,0.0770767578998912,0.0483127402101451,0.212942256898714,0,0.0773368168998046,0.000678157041442291,0.0715816456454513,0.090321638497368,0,0,NA,0.0805767171935582,0.19348006404084,0.0770580357485893,0,0.11752801847905,0.000000425519024363624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0.0065,0,0,0,0,0,0,0,0,0,0
