"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","15-19","all","all_0_10","52.08%",0.0476,"64.7%",0.0487,0,10,"all","10km = cycling",5
"2","15-19","all","all_0_2","52.08%",0.0476,"53.25%",0.0478,0,2,"all","2km = cycling",3
"3","15-19","all","all_0_5","52.08%",0.0476,"60.12%",0.0483,0,5,"all","5km = cycling",4
"4","15-19","all","all_1_0","52.08%",0.0476,"52.44%",0.0477,1,0,"all","1km = walking",1
"5","15-19","all","all_1_10","52.08%",0.0476,"65.07%",0.0487,1,10,"all","1km = walking ; 1 km < cycling = 10 km",8
"6","15-19","all","all_1_2","52.08%",0.0476,"53.62%",0.0478,1,2,"all","1km = walking ; 1 km < cycling = 2 km",6
"7","15-19","all","all_1_5","52.08%",0.0476,"60.48%",0.0483,1,5,"all","1km = walking ; 1 km < cycling = 5 km",7
"8","15-19","all","all_2_0","52.08%",0.0476,"55.06%",0.0479,2,0,"all","2km = walking",2
"9","15-19","all","all_2_10","52.08%",0.0476,"65.07%",0.0487,2,10,"all","2km = walking ; 2 km < cycling = 10 km",10
"10","15-19","all","all_2_5","52.08%",0.0476,"60.48%",0.0483,2,5,"all","2km = walking ; 2 km < cycling = 5 km",9
