"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","40-64","all","commuting_0_10","53.66%",0.0118,"59.11%",0.0116,0,10,"commuting","10km = cycling",5
"2","40-64","all","commuting_0_2","53.66%",0.0118,"54.38%",0.0118,0,2,"commuting","2km = cycling",3
"3","40-64","all","commuting_0_5","53.66%",0.0118,"56.44%",0.0117,0,5,"commuting","5km = cycling",4
"4","40-64","all","commuting_1_0","53.66%",0.0118,"53.79%",0.0118,1,0,"commuting","1km = walking",1
"5","40-64","all","commuting_1_10","53.66%",0.0118,"59.11%",0.0116,1,10,"commuting","1km = walking ; 1 km < cycling = 10 km",8
"6","40-64","all","commuting_1_2","53.66%",0.0118,"54.39%",0.0118,1,2,"commuting","1km = walking ; 1 km < cycling = 2 km",6
"7","40-64","all","commuting_1_5","53.66%",0.0118,"56.44%",0.0117,1,5,"commuting","1km = walking ; 1 km < cycling = 5 km",7
"8","40-64","all","commuting_2_0","53.66%",0.0118,"54.64%",0.0117,2,0,"commuting","2km = walking",2
"9","40-64","all","commuting_2_10","53.66%",0.0118,"59.22%",0.0116,2,10,"commuting","2km = walking ; 2 km < cycling = 10 km",10
"10","40-64","all","commuting_2_5","53.66%",0.0118,"56.62%",0.0117,2,5,"commuting","2km = walking ; 2 km < cycling = 5 km",9
