"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","all","all","all_0_10","53.5%",0.0078,"73.29%",0.0071,0,10,"all","10km = cycling",5
"2","all","all","all_0_2","53.5%",0.0078,"59.05%",0.0077,0,2,"all","2km = cycling",3
"3","all","all","all_0_5","53.5%",0.0078,"68.36%",0.0073,0,5,"all","5km = cycling",4
"4","all","all","all_1_0","53.5%",0.0078,"54.87%",0.0078,1,0,"all","1km = walking",1
"5","all","all","all_1_10","53.5%",0.0078,"73.64%",0.007,1,10,"all","1km = walking ; 1 km < cycling = 10 km",8
"6","all","all","all_1_2","53.5%",0.0078,"59.5%",0.0077,1,2,"all","1km = walking ; 1 km < cycling = 2 km",6
"7","all","all","all_1_5","53.5%",0.0078,"68.76%",0.0073,1,5,"all","1km = walking ; 1 km < cycling = 5 km",7
"8","all","all","all_2_0","53.5%",0.0078,"60.23%",0.0077,2,0,"all","2km = walking",2
"9","all","all","all_2_10","53.5%",0.0078,"73.8%",0.007,2,10,"all","2km = walking ; 2 km < cycling = 10 km",10
"10","all","all","all_2_5","53.5%",0.0078,"69.03%",0.0073,2,5,"all","2km = walking ; 2 km < cycling = 5 km",9
