"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","all","male","all_0_10","54.06%",0.0115,"72.74%",0.0104,0,10,"all","10km = cycling",5
"2","all","male","all_0_2","54.06%",0.0115,"59.03%",0.0113,0,2,"all","2km = cycling",3
"3","all","male","all_0_5","54.06%",0.0115,"68.01%",0.0108,0,5,"all","5km = cycling",4
"4","all","male","all_1_0","54.06%",0.0115,"55.15%",0.0115,1,0,"all","1km = walking",1
"5","all","male","all_1_10","54.06%",0.0115,"73.1%",0.0104,1,10,"all","1km = walking ; 1 km < cycling = 10 km",8
"6","all","male","all_1_2","54.06%",0.0115,"59.52%",0.0113,1,2,"all","1km = walking ; 1 km < cycling = 2 km",6
"7","all","male","all_1_5","54.06%",0.0115,"68.41%",0.0107,1,5,"all","1km = walking ; 1 km < cycling = 5 km",7
"8","all","male","all_2_0","54.06%",0.0115,"60.2%",0.0113,2,0,"all","2km = walking",2
"9","all","male","all_2_10","54.06%",0.0115,"73.28%",0.0103,2,10,"all","2km = walking ; 2 km < cycling = 10 km",10
"10","all","male","all_2_5","54.06%",0.0115,"68.69%",0.0107,2,5,"all","2km = walking ; 2 km < cycling = 5 km",9
