"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","15-19","male","commuting_0_10","55.37%",0.0694,"58.64%",0.0699,0,10,"commuting","10km = cycling",5
"2","15-19","male","commuting_0_2","55.37%",0.0694,"55.82%",0.0695,0,2,"commuting","2km = cycling",3
"3","15-19","male","commuting_0_5","55.37%",0.0694,"55.82%",0.0695,0,5,"commuting","5km = cycling",4
"4","15-19","male","commuting_1_0","55.37%",0.0694,"55.37%",0.0694,1,0,"commuting","1km = walking",1
"5","15-19","male","commuting_1_10","55.37%",0.0694,"58.64%",0.0699,1,10,"commuting","1km = walking ; 1 km < cycling = 10 km",8
"6","15-19","male","commuting_1_2","55.37%",0.0694,"55.82%",0.0695,1,2,"commuting","1km = walking ; 1 km < cycling = 2 km",6
"7","15-19","male","commuting_1_5","55.37%",0.0694,"55.82%",0.0695,1,5,"commuting","1km = walking ; 1 km < cycling = 5 km",7
"8","15-19","male","commuting_2_0","55.37%",0.0694,"55.82%",0.0695,2,0,"commuting","2km = walking",2
"9","15-19","male","commuting_2_10","55.37%",0.0694,"58.64%",0.0699,2,10,"commuting","2km = walking ; 2 km < cycling = 10 km",10
"10","15-19","male","commuting_2_5","55.37%",0.0694,"55.82%",0.0695,2,5,"commuting","2km = walking ; 2 km < cycling = 5 km",9
