"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","20-39","all","commuting_0_10","59.2%",0.0136,"63.81%",0.0134,0,10,"commuting","10km = cycling",5
"2","20-39","all","commuting_0_2","59.2%",0.0136,"59.68%",0.0136,0,2,"commuting","2km = cycling",3
"3","20-39","all","commuting_0_5","59.2%",0.0136,"61.43%",0.0135,0,5,"commuting","5km = cycling",4
"4","20-39","all","commuting_1_0","59.2%",0.0136,"59.25%",0.0136,1,0,"commuting","1km = walking",1
"5","20-39","all","commuting_1_10","59.2%",0.0136,"63.81%",0.0134,1,10,"commuting","1km = walking ; 1 km < cycling = 10 km",8
"6","20-39","all","commuting_1_2","59.2%",0.0136,"59.68%",0.0136,1,2,"commuting","1km = walking ; 1 km < cycling = 2 km",6
"7","20-39","all","commuting_1_5","59.2%",0.0136,"61.43%",0.0135,1,5,"commuting","1km = walking ; 1 km < cycling = 5 km",7
"8","20-39","all","commuting_2_0","59.2%",0.0136,"59.68%",0.0136,2,0,"commuting","2km = walking",2
"9","20-39","all","commuting_2_10","59.2%",0.0136,"63.81%",0.0134,2,10,"commuting","2km = walking ; 2 km < cycling = 10 km",10
"10","20-39","all","commuting_2_5","59.2%",0.0136,"61.43%",0.0135,2,5,"commuting","2km = walking ; 2 km < cycling = 5 km",9
