"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","20-39","male","all_0_10","57.46%",0.0201,"72.75%",0.0186,0,10,"all","10km = cycling",5
"2","20-39","male","all_0_2","57.46%",0.0201,"61.27%",0.0199,0,2,"all","2km = cycling",3
"3","20-39","male","all_0_5","57.46%",0.0201,"68.13%",0.0192,0,5,"all","5km = cycling",4
"4","20-39","male","all_1_0","57.46%",0.0201,"57.87%",0.0201,1,0,"all","1km = walking",1
"5","20-39","male","all_1_10","57.46%",0.0201,"72.83%",0.0186,1,10,"all","1km = walking ; 1 km < cycling = 10 km",8
"6","20-39","male","all_1_2","57.46%",0.0201,"61.4%",0.0199,1,2,"all","1km = walking ; 1 km < cycling = 2 km",6
"7","20-39","male","all_1_5","57.46%",0.0201,"68.26%",0.0192,1,5,"all","1km = walking ; 1 km < cycling = 5 km",7
"8","20-39","male","all_2_0","57.46%",0.0201,"61.89%",0.0199,2,0,"all","2km = walking",2
"9","20-39","male","all_2_10","57.46%",0.0201,"73.01%",0.0186,2,10,"all","2km = walking ; 2 km < cycling = 10 km",10
"10","20-39","male","all_2_5","57.46%",0.0201,"68.52%",0.0192,2,5,"all","2km = walking ; 2 km < cycling = 5 km",9
