"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","40-64","all","all_0_10","53.66%",0.0118,"75.4%",0.0102,0,10,"all","10km = cycling",5
"2","40-64","all","all_0_2","53.66%",0.0118,"59.26%",0.0116,0,2,"all","2km = cycling",3
"3","40-64","all","all_0_5","53.66%",0.0118,"69.8%",0.0108,0,5,"all","5km = cycling",4
"4","40-64","all","all_1_0","53.66%",0.0118,"55.02%",0.0117,1,0,"all","1km = walking",1
"5","40-64","all","all_1_10","53.66%",0.0118,"75.59%",0.0102,1,10,"all","1km = walking ; 1 km < cycling = 10 km",8
"6","40-64","all","all_1_2","53.66%",0.0118,"59.6%",0.0116,1,2,"all","1km = walking ; 1 km < cycling = 2 km",6
"7","40-64","all","all_1_5","53.66%",0.0118,"70.06%",0.0108,1,5,"all","1km = walking ; 1 km < cycling = 5 km",7
"8","40-64","all","all_2_0","53.66%",0.0118,"60.37%",0.0115,2,0,"all","2km = walking",2
"9","40-64","all","all_2_10","53.66%",0.0118,"75.74%",0.0102,2,10,"all","2km = walking ; 2 km < cycling = 10 km",10
"10","40-64","all","all_2_5","53.66%",0.0118,"70.39%",0.0107,2,5,"all","2km = walking ; 2 km < cycling = 5 km",9
