"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","40-64","all",70.3382105410432,70.8886308247545,10.5638525742608,52.5232821545091,"commuting_0_10","commuting"
"2","40-64","all",70.3382105410432,70.8886308247545,10.5638525742608,12.9278743157059,"commuting_0_2","commuting"
"3","40-64","all",70.3382105410432,70.8886308247545,10.5638525742608,23.518905044894,"commuting_0_5","commuting"
"4","40-64","all",70.3382105410432,71.7255777486224,10.5638525742608,10.807702987544,"commuting_1_0","commuting"
"5","40-64","all",70.3382105410432,71.7255777486224,10.5638525742608,52.2189378185571,"commuting_1_10","commuting"
"6","40-64","all",70.3382105410432,71.7255777486224,10.5638525742608,12.623529979754,"commuting_1_2","commuting"
"7","40-64","all",70.3382105410432,71.7255777486224,10.5638525742608,23.2145607089421,"commuting_1_5","commuting"
"8","40-64","all",70.3382105410432,76.7191019771998,10.5638525742608,10.807702987544,"commuting_2_0","commuting"
"9","40-64","all",70.3382105410432,76.7191019771998,10.5638525742608,50.4031108263472,"commuting_2_10","commuting"
"10","40-64","all",70.3382105410432,76.7191019771998,10.5638525742608,21.3987337167321,"commuting_2_5","commuting"
