"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","40-64","male",67.7978802435649,67.7978802435649,17.380996603314,229.305907081107,"all_0_10","all"
"2","40-64","male",67.797880243851,67.797880243851,17.3809966031303,33.0954296956766,"all_0_2","all"
"3","40-64","male",67.7978802435649,67.7978802435649,17.380996603314,109.288971360557,"all_0_5","all"
"4","40-64","male",67.7978802435649,74.4024020418661,17.380996603314,17.8770647062242,"all_1_0","all"
"5","40-64","male",67.7978802435649,74.4024020418661,17.380996603314,226.904262790816,"all_1_10","all"
"6","40-64","male",67.7978802435649,74.4024020418661,17.380996603314,30.6937854054678,"all_1_2","all"
"7","40-64","male",67.7978802435649,74.4024020418661,17.380996603314,106.887327070265,"all_1_5","all"
"8","40-64","male",67.7978802435649,109.648383964786,17.380996603314,17.8770647062242,"all_2_0","all"
"9","40-64","male",67.7978802435649,109.648383964786,17.380996603314,214.087542091572,"all_2_10","all"
"10","40-64","male",67.7978802435649,109.648383964786,17.380996603314,94.0706063710217,"all_2_5","all"
