"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","65plus","male","all_0_10","46.07%",0.0249,"70.47%",0.0218,0,10,"all","10km = cycling",5
"2","65plus","male","all_0_2","46.07%",0.0249,"55.37%",0.0243,0,2,"all","2km = cycling",3
"3","65plus","male","all_0_5","46.07%",0.0249,"66.59%",0.0226,0,5,"all","5km = cycling",4
"4","65plus","male","all_1_0","46.07%",0.0249,"48.49%",0.0248,1,0,"all","1km = walking",1
"5","65plus","male","all_1_10","46.07%",0.0249,"71.81%",0.0215,1,10,"all","1km = walking ; 1 km < cycling = 10 km",8
"6","65plus","male","all_1_2","46.07%",0.0249,"57%",0.0241,1,2,"all","1km = walking ; 1 km < cycling = 2 km",6
"7","65plus","male","all_1_5","46.07%",0.0249,"68.01%",0.0224,1,5,"all","1km = walking ; 1 km < cycling = 5 km",7
"8","65plus","male","all_2_0","46.07%",0.0249,"58.07%",0.0239,2,0,"all","2km = walking",2
"9","65plus","male","all_2_10","46.07%",0.0249,"71.81%",0.0215,2,10,"all","2km = walking ; 2 km < cycling = 10 km",10
"10","65plus","male","all_2_5","46.07%",0.0249,"68.06%",0.0224,2,5,"all","2km = walking ; 2 km < cycling = 5 km",9
