"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","20-39","all","all_0_10","59.2%",0.0136,"75.52%",0.0122,0,10,"all","10km = cycling",5
"2","20-39","all","all_0_2","59.2%",0.0136,"63.44%",0.0135,0,2,"all","2km = cycling",3
"3","20-39","all","all_0_5","59.2%",0.0136,"71.19%",0.0127,0,5,"all","5km = cycling",4
"4","20-39","all","all_1_0","59.2%",0.0136,"60%",0.0136,1,0,"all","1km = walking",1
"5","20-39","all","all_1_10","59.2%",0.0136,"75.62%",0.0122,1,10,"all","1km = walking ; 1 km < cycling = 10 km",8
"6","20-39","all","all_1_2","59.2%",0.0136,"63.58%",0.0135,1,2,"all","1km = walking ; 1 km < cycling = 2 km",6
"7","20-39","all","all_1_5","59.2%",0.0136,"71.31%",0.0127,1,5,"all","1km = walking ; 1 km < cycling = 5 km",7
"8","20-39","all","all_2_0","59.2%",0.0136,"64.15%",0.0134,2,0,"all","2km = walking",2
"9","20-39","all","all_2_10","59.2%",0.0136,"75.84%",0.0122,2,10,"all","2km = walking ; 2 km < cycling = 10 km",10
"10","20-39","all","all_2_5","59.2%",0.0136,"71.57%",0.0127,2,5,"all","2km = walking ; 2 km < cycling = 5 km",9
