"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","20-39","all",66.3343885660508,66.3343885660508,7.59585776436649,183.232062779782,"all_0_10","all"
"2","20-39","all",66.3343885657336,66.3343885657336,7.59585776425118,20.9067079855631,"all_0_2","all"
"3","20-39","all",66.3343885660508,66.3343885660508,7.59585776436649,77.5831705365823,"all_0_5","all"
"4","20-39","all",66.3343885660508,71.6048520902044,7.59585776436649,7.59585776436649,"all_1_0","all"
"5","20-39","all",66.3343885660508,71.6048520902044,7.59585776436649,181.315530589181,"all_1_10","all"
"6","20-39","all",66.3343885660508,71.6048520902044,7.59585776436649,18.990175794921,"all_1_2","all"
"7","20-39","all",66.3343885660508,71.6048520902044,7.59585776436649,75.666638345981,"all_1_5","all"
"8","20-39","all",66.3343885660508,102.939226674229,7.59585776436649,7.59585776436649,"all_2_0","all"
"9","20-39","all",66.3343885660508,102.939226674229,7.59585776436649,169.921212558627,"all_2_10","all"
"10","20-39","all",66.3343885660508,102.939226674229,7.59585776436649,64.2723203154265,"all_2_5","all"
