"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","20-39","female",76.1800401268887,76.1800401268887,6.36016046336744,202.661009186059,"all_0_10","all"
"2","20-39","female",76.1800401267703,76.1800401267703,6.36016046313866,21.2546245489785,"all_0_2","all"
"3","20-39","female",76.1800401268887,76.1800401268887,6.36016046336744,85.8902513792567,"all_0_5","all"
"4","20-39","female",76.1800401268887,81.7523692447998,6.36016046336744,6.36016046336744,"all_1_0","all"
"5","20-39","female",76.1800401268887,81.7523692447998,6.36016046336744,200.634707688637,"all_1_10","all"
"6","20-39","female",76.1800401268887,81.7523692447998,6.36016046336744,19.2283230515511,"all_1_2","all"
"7","20-39","female",76.1800401268887,81.7523692447998,6.36016046336744,83.8639498818345,"all_1_5","all"
"8","20-39","female",76.1800401268887,117.139816362305,6.36016046336744,6.36016046336744,"all_2_0","all"
"9","20-39","female",76.1800401268887,117.139816362305,6.36016046336744,187.766545100453,"all_2_10","all"
"10","20-39","female",76.1800401268887,117.139816362305,6.36016046336744,70.9957872936508,"all_2_5","all"
