"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","20-39","female","commuting_0_10","60.78%",0.0185,"64.99%",0.0182,0,10,"commuting","10km = cycling",5
"2","20-39","female","commuting_0_2","60.78%",0.0185,"61.13%",0.0185,0,2,"commuting","2km = cycling",3
"3","20-39","female","commuting_0_5","60.78%",0.0185,"62.87%",0.0184,0,5,"commuting","5km = cycling",4
"4","20-39","female","commuting_1_0","60.78%",0.0185,"60.83%",0.0185,1,0,"commuting","1km = walking",1
"5","20-39","female","commuting_1_10","60.78%",0.0185,"64.99%",0.0182,1,10,"commuting","1km = walking ; 1 km < cycling = 10 km",8
"6","20-39","female","commuting_1_2","60.78%",0.0185,"61.13%",0.0185,1,2,"commuting","1km = walking ; 1 km < cycling = 2 km",6
"7","20-39","female","commuting_1_5","60.78%",0.0185,"62.87%",0.0184,1,5,"commuting","1km = walking ; 1 km < cycling = 5 km",7
"8","20-39","female","commuting_2_0","60.78%",0.0185,"61.13%",0.0185,2,0,"commuting","2km = walking",2
"9","20-39","female","commuting_2_10","60.78%",0.0185,"64.99%",0.0182,2,10,"commuting","2km = walking ; 2 km < cycling = 10 km",10
"10","20-39","female","commuting_2_5","60.78%",0.0185,"62.87%",0.0184,2,5,"commuting","2km = walking ; 2 km < cycling = 5 km",9
