"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","20-39","male","commuting_0_10","57.46%",0.0201,"62.52%",0.0198,0,10,"commuting","10km = cycling",5
"2","20-39","male","commuting_0_2","57.46%",0.0201,"58.09%",0.0201,0,2,"commuting","2km = cycling",3
"3","20-39","male","commuting_0_5","57.46%",0.0201,"59.84%",0.02,0,5,"commuting","5km = cycling",4
"4","20-39","male","commuting_1_0","57.46%",0.0201,"57.5%",0.0201,1,0,"commuting","1km = walking",1
"5","20-39","male","commuting_1_10","57.46%",0.0201,"62.52%",0.0198,1,10,"commuting","1km = walking ; 1 km < cycling = 10 km",8
"6","20-39","male","commuting_1_2","57.46%",0.0201,"58.09%",0.0201,1,2,"commuting","1km = walking ; 1 km < cycling = 2 km",6
"7","20-39","male","commuting_1_5","57.46%",0.0201,"59.84%",0.02,1,5,"commuting","1km = walking ; 1 km < cycling = 5 km",7
"8","20-39","male","commuting_2_0","57.46%",0.0201,"58.09%",0.0201,2,0,"commuting","2km = walking",2
"9","20-39","male","commuting_2_10","57.46%",0.0201,"62.52%",0.0198,2,10,"commuting","2km = walking ; 2 km < cycling = 10 km",10
"10","20-39","male","commuting_2_5","57.46%",0.0201,"59.84%",0.02,2,5,"commuting","2km = walking ; 2 km < cycling = 5 km",9
