"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","40-64","male",67.7978802435649,67.7978802435649,17.380996603314,62.4636998579118,"commuting_0_10","commuting"
"2","40-64","male",67.7978802435649,67.7978802435649,17.380996603314,20.0922508693428,"commuting_0_2","commuting"
"3","40-64","male",67.7978802435649,67.7978802435649,17.380996603314,31.1981464119879,"commuting_0_5","commuting"
"4","40-64","male",67.7978802435649,68.7417421564671,17.380996603314,17.8770647062242,"commuting_1_0","commuting"
"5","40-64","male",67.7978802435649,68.7417421564671,17.380996603314,62.1204773441292,"commuting_1_10","commuting"
"6","40-64","male",67.7978802435649,68.7417421564671,17.380996603314,19.7490283555602,"commuting_1_2","commuting"
"7","40-64","male",67.7978802435649,68.7417421564671,17.380996603314,30.8549238982053,"commuting_1_5","commuting"
"8","40-64","male",67.7978802435649,73.889642192141,17.380996603314,17.8770647062242,"commuting_2_0","commuting"
"9","40-64","male",67.7978802435649,73.889642192141,17.380996603314,60.2485136947932,"commuting_2_10","commuting"
"10","40-64","male",67.7978802435649,73.889642192141,17.380996603314,28.9829602488693,"commuting_2_5","commuting"
