"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","65plus","female","commuting_0_10","39%",0.0216,"40.29%",0.0217,0,10,"commuting","10km = cycling",5
"2","65plus","female","commuting_0_2","39%",0.0216,"39.35%",0.0216,0,2,"commuting","2km = cycling",3
"3","65plus","female","commuting_0_5","39%",0.0216,"39.73%",0.0216,0,5,"commuting","5km = cycling",4
"4","65plus","female","commuting_1_0","39%",0.0216,"39.05%",0.0216,1,0,"commuting","1km = walking",1
"5","65plus","female","commuting_1_10","39%",0.0216,"40.29%",0.0217,1,10,"commuting","1km = walking ; 1 km < cycling = 10 km",8
"6","65plus","female","commuting_1_2","39%",0.0216,"39.35%",0.0216,1,2,"commuting","1km = walking ; 1 km < cycling = 2 km",6
"7","65plus","female","commuting_1_5","39%",0.0216,"39.73%",0.0216,1,5,"commuting","1km = walking ; 1 km < cycling = 5 km",7
"8","65plus","female","commuting_2_0","39%",0.0216,"39.35%",0.0216,2,0,"commuting","2km = walking",2
"9","65plus","female","commuting_2_10","39%",0.0216,"40.29%",0.0217,2,10,"commuting","2km = walking ; 2 km < cycling = 10 km",10
"10","65plus","female","commuting_2_5","39%",0.0216,"39.73%",0.0216,2,5,"commuting","2km = walking ; 2 km < cycling = 5 km",9
