"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","65plus","male","commuting_0_10","46.07%",0.0249,"47.37%",0.0249,0,10,"commuting","10km = cycling",5
"2","65plus","male","commuting_0_2","46.07%",0.0249,"46.17%",0.0249,0,2,"commuting","2km = cycling",3
"3","65plus","male","commuting_0_5","46.07%",0.0249,"46.71%",0.0249,0,5,"commuting","5km = cycling",4
"4","65plus","male","commuting_1_0","46.07%",0.0249,"46.07%",0.0249,1,0,"commuting","1km = walking",1
"5","65plus","male","commuting_1_10","46.07%",0.0249,"47.37%",0.0249,1,10,"commuting","1km = walking ; 1 km < cycling = 10 km",8
"6","65plus","male","commuting_1_2","46.07%",0.0249,"46.17%",0.0249,1,2,"commuting","1km = walking ; 1 km < cycling = 2 km",6
"7","65plus","male","commuting_1_5","46.07%",0.0249,"46.71%",0.0249,1,5,"commuting","1km = walking ; 1 km < cycling = 5 km",7
"8","65plus","male","commuting_2_0","46.07%",0.0249,"46.17%",0.0249,2,0,"commuting","2km = walking",2
"9","65plus","male","commuting_2_10","46.07%",0.0249,"47.37%",0.0249,2,10,"commuting","2km = walking ; 2 km < cycling = 10 km",10
"10","65plus","male","commuting_2_5","46.07%",0.0249,"46.71%",0.0249,2,5,"commuting","2km = walking ; 2 km < cycling = 5 km",9
