"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","all","female","all_0_10","52.99%",0.0107,"73.79%",0.0097,0,10,"all","10km = cycling",5
"2","all","female","all_0_2","52.99%",0.0107,"59.07%",0.0106,0,2,"all","2km = cycling",3
"3","all","female","all_0_5","52.99%",0.0107,"68.68%",0.0101,0,5,"all","5km = cycling",4
"4","all","female","all_1_0","52.99%",0.0107,"54.61%",0.0107,1,0,"all","1km = walking",1
"5","all","female","all_1_10","52.99%",0.0107,"74.14%",0.0096,1,10,"all","1km = walking ; 1 km < cycling = 10 km",8
"6","all","female","all_1_2","52.99%",0.0107,"59.49%",0.0106,1,2,"all","1km = walking ; 1 km < cycling = 2 km",6
"7","all","female","all_1_5","52.99%",0.0107,"69.07%",0.01,1,5,"all","1km = walking ; 1 km < cycling = 5 km",7
"8","all","female","all_2_0","52.99%",0.0107,"60.25%",0.0105,2,0,"all","2km = walking",2
"9","all","female","all_2_10","52.99%",0.0107,"74.28%",0.0096,2,10,"all","2km = walking ; 2 km < cycling = 10 km",10
"10","all","female","all_2_5","52.99%",0.0107,"69.33%",0.01,2,5,"all","2km = walking ; 2 km < cycling = 5 km",9
