"persid","participant_wt","age","sex","ses","dem_index","work_status","age_group_scen","age_group_2","occupation_cat","industry_cat","work_full","study_full","mod_total_hr","vig_total_hr","mod_leis_hr","vig_leis_hr","mod_work_hr","vig_work_hr","walk_rc","walk_trans","walk_base","pa_guide_adults","pa_guide_older_adults","time_base_car","distance_base_car","time_base_walking","distance_base_walking","time_base_public.transport","distance_base_public.transport","time_base_other","distance_base_other","time_base_bicycle","distance_base_bicycle","time_scen_car","distance_scen_car","time_scen_walking","distance_scen_walking","time_scen_public.transport","distance_scen_public.transport","time_scen_other","distance_scen_other","time_scen_bicycle","distance_scen_bicycle","walk_scen","scen"
"Y17H2810101P01",69.63,74,"male",8,23,"employed","70 to 74",72,"Technicians and Trades Workers","Construction","No",NA,0,0,0,0,0,0,0,0,"No","No","No",9.33333333333333,46.9,0,0,0,0,0,0,0,0,9.33333333333333,46.9,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810101P02",67.42,71,"female",8,24,"unemployed","70 to 74",72,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0,0,"No","No","No",2.33333333333333,25.9,0,0,0,0,0,0,0,0,2.33333333333333,25.9,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810106P01",200.94,46,"male",8,13,"employed","45 to 49",47,"Professionals","Education and Training","Yes",NA,1.5,0.25,1.5,0.25,0,0,0.75,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810106P02",191.15,42,"female",8,12,"unemployed","40 to 44",42,"Not in Work Force","Not in Work Force","No",NA,0.5,0,0.5,0,0,0,3.08333333333333,3.5,"Yes","No","Yes",0,0,7,2.68,0,0,0,0,0,0,0,0,7,2.68,0,0,0,0,0,0,"Yes","all_0_5"
"Y17H2810107P01",199.15,45,"female",8,14,"employed","45 to 49",47,"Labourers","Accommodation and Food Services","Yes",NA,0,0,0,0,0,0,4,0,"No","No","Yes",14,133.49,0,0,0,0,0,0,0,0,14,133.49,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810107P02",209.36,43,"male",8,11,"employed","40 to 44",42,"Professionals","Manufacturing","Yes",NA,6.5,0,0.5,0,6,0,0.25,0,"No","No","No",14,133.49,0,0,0,0,0,0,0,0,14,133.49,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810107P03",230.99,19,"male",8,1,"employed","15 to 19",17,"Labourers","Accommodation and Food Services","Yes",NA,5,1.33333333333333,4,1.33333333333333,1,0,1,0,"No","Yes","Yes",7,52.12,0,0,0,0,0,0,0,0,7,52.12,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810109P01",64.22,47,"female",8,14,"employed","45 to 49",47,"Professionals","Health Care and Social Assistance","No",NA,0,0,0,0,0,0,1,0,"No","No","No",4.08333333333333,15.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74909090909091,15.32,"No","all_0_5"
"Y17H2810109P02",66.31,42,"male",8,11,"employed","40 to 44",42,"Managers","Information Media and Telecommunications","Yes",NA,0,0.166666666666667,0,0.166666666666667,0,0,5,2,"Yes","No","No",0.933333333333333,3.33,4.55,2.45,14,67.13,0,0,0,0,0,0,4.55,2.45,14,67.13,0,0,2.11909090909091,3.33,"Yes","all_0_5"
"Y17H2810110P01",64.79,44,"female",8,12,"employed","40 to 44",42,"Professionals","Education and Training","Yes","Part time",0,0,0,0,0,0,2,0,"No","No","No",7,53.18,0,0,0,0,0,0,0,0,7,53.18,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810111P01",71.81,36,"female",8,10,"employed","35 to 39",37,"Sales Workers","Financial and Insurance Services","Yes",NA,0,1,0,1,0,0,5.5,2,"Yes","Yes","No",1.16666666666667,2.78,2.45,2.28,10.2666666666667,69.8,0,0,0,0,0,0,2.45,2.28,10.2666666666667,69.8,0,0,1.76909090909091,2.78,"Yes","all_0_5"
"Y17H2810111P02",74.16,32,"male",8,7,"employed","30 to 34",32,"Technicians and Trades Workers","Retail Trade","Yes",NA,0,0,0,0,0,0,0,0,"No","No","No",1.16666666666667,7.13,0,0,0,0,0,0,0,0,1.16666666666667,7.13,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810112P01",58.38,62,"male",8,19,"employed","60 to 64",62,"Sales Workers","Retail Trade","Yes",NA,0,0,0,0,0,0,0,3,"Yes","No","No",12.8333333333333,55.69,4.66666666666667,2.21,4.08333333333333,34.9,0,0,0,0,12.25,53.46,4.66666666666667,2.21,4.08333333333333,34.9,0,0,1.41909090909091,2.23,"Yes","all_0_5"
"Y17H2810112P02",56.53,60,"female",8,20,"employed","60 to 64",62,"Clerical and Administrative Workers","Information Media and Telecommunications","Yes",NA,0,0,0,0,0,0,0,3.66666666666667,"Yes","No","Yes",0,0,5.71666666666667,3.26,5.25,34.9,0,0,0,0,0,0,5.71666666666667,3.26,5.25,34.9,0,0,0,0,"Yes","all_0_5"
"Y17H2810112P03",71.79,30,"female",8,8,"employed","30 to 34",32,"Labourers","Other Services","Yes",NA,0,3,0,3,0,0,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810114P01",282.82,27,"male",8,5,"employed","25 to 29",27,"Professionals","Public Administration and Safety","Yes","Part time",1,4,1,4,0,0,2,0,"No","Yes","Yes",14.8166666666667,45.58,0,0,0,0,0,0,0,0,12.8333333333333,40.62,0,0,0,0,0,0,3.15636363636364,4.96,"No","all_0_5"
"Y17H2810114P02",269.03,23,"female",8,4,"employed","20 tp 24",22,"Professionals","Public Administration and Safety","Yes",NA,10,21,0,6,10,15,0,0,"No","No","No",13.0666666666667,45.58,0,0,0,0,0,0,0,0,11.0833333333333,40.62,0,0,0,0,0,0,3.15636363636364,4.96,"No","all_0_5"
"Y17H2810115P01",58.18,57,"male",8,17,"employed","55 to 59",57,"Technicians and Trades Workers","Construction","No","Part time",0,10,0,10,0,0,10,4,"Yes","Yes","Yes",11.4333333333333,62.64,4.66666666666667,2.3,0,0,0,0,0,0,11.4333333333333,62.64,4.66666666666667,2.3,0,0,0,0,0,0,"Yes","all_0_5"
"Y17H2810115P02",56.33,52,"female",8,16,"unemployed","50 to 54",52,"Not in Work Force","Not in Work Force","No","Full time",0,0,0,0,0,0,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810117P01",68.46,89,"female",8,30,"unemployed","85 +",87,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0.5,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810119P01",67.22,41,"male",8,11,"employed","40 to 44",42,"Professionals","Professional, Scientific and Technical Services","Yes",NA,0,3,0,0,0,3,0,6,"Yes","No","Yes",0,0,4.08333333333333,3.47,7.35,40.34,0,0,0,0,0,0,4.08333333333333,3.47,7.35,40.34,0,0,0,0,"Yes","all_0_5"
"Y17H2810120P01",157.91,64,"male",8,19,"unemployed","60 to 64",62,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,10,0,"No","No","No",8.16666666666667,25.52,0,0,0,0,0,0,0,0,5.83333333333333,22.26,0,0,0,0,0,0,2.07454545454545,3.26,"No","all_0_5"
"Y17H2810120P02",164.14,58,"female",8,18,"employed","55 to 59",57,"Managers","Public Administration and Safety","Yes",NA,0,0,0,0,0,0,0,0,"No","No","No",8.16666666666667,25.51,0,0,0,0,0,0,0,0,5.83333333333333,22.26,0,0,0,0,0,0,2.06818181818182,3.25,"No","all_0_5"
"Y17H2810121P01",243.58,34,"female",8,8,"employed","30 to 34",32,"Professionals","Health Care and Social Assistance","Yes",NA,4,0,0,0,4,0,0,0,"No","No","No",8.16666666666667,98.68,0,0,0,0,0,0,0,0,7,97.7,0,0,0,0,0,0,0.623636363636364,0.98,"No","all_0_5"
"Y17H2810121P02",256.07,34,"male",8,7,"employed","30 to 34",32,"Managers","Professional, Scientific and Technical Services","Yes",NA,0,0,0,0,0,0,0,0,"No","No","No",8.16666666666667,98.68,0,0,0,0,0,0,0,0,7,97.7,0,0,0,0,0,0,0.623636363636364,0.98,"No","all_0_5"
"Y17H2810124P01",59.07,50,"male",8,15,"employed","50 to 54",52,"Machinery Operators and Drivers","Retail Trade","Yes",NA,0,0,0,0,0,0,3,0,"No","Yes","Yes",5.83333333333333,29.61,0,0,0,0,0,0,0,0,5.25,27.59,0,0,0,0,0,0,1.28545454545455,2.02,"No","all_0_5"
"Y17H2810124P02",71.46,39,"female",8,10,"employed","35 to 39",37,"Professionals","Education and Training","Yes",NA,0,1.5,0,1.5,0,0,3,0,"No","No","No",4.9,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00727272727273,9.44,"No","all_0_5"
"Y17H2810127P01",192.42,71,"male",8,23,"unemployed","70 to 74",72,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0,0,"No","No","No",7.58333333333333,37.96,0,0,0,0,0,0,0,0,7.58333333333333,37.96,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810127P02",150.21,66,"female",8,22,"unemployed","65 to 69",67,"Not in Work Force","Not in Work Force","No",NA,1.5,0,1.5,0,0,0,1.5,0,"No","No","No",6.41666666666667,41.34,0,0,0,0,0,0,0,0,6.41666666666667,41.34,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810129P01",67.42,71,"female",8,24,"unemployed","70 to 74",72,"Not in Work Force","Not in Work Force","No",NA,3.33333333333333,0,3.33333333333333,0,0,0,0,0,"No","No","No",7,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,8.14,"No","all_0_5"
"Y17H2810132P01",68.8,91,"female",8,32,"unemployed","85 +",92,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810132P02",59.37,51,"male",8,15,"employed","50 to 54",52,"Professionals","Information Media and Telecommunications","No",NA,0,5,0,5,0,0,0,0,"No","Yes","Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810133P01",58.38,65,"male",8,21,"unemployed","65 to 69",67,"Not in Work Force","Not in Work Force","No",NA,0.25,0,0.25,0,0,0,0.5,0,"No","No","No",7,20.88,0,0,0,0,0,0,0,0,4.66666666666667,16.88,0,0,0,0,0,0,2.54545454545455,4,"No","all_0_5"
"Y17H2810135P01",190.7,90,"female",8,32,"unemployed","85 +",92,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,1.5,1,"Yes","No","No",0,0,0.933333333333333,0.92,0,0,0,0,0,0,0,0,0.933333333333333,0.92,0,0,0,0,0,0,"Yes","all_0_5"
"Y17H2810137P01",66.31,40,"male",8,11,"employed","40 to 44",42,"Not in Work Force","Not in Work Force","Yes",NA,0,0,0,0,0,0,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
