"persid","hhid","age","age_group","age_group_2","sex","work_status","work_full","study_full","occupation_cat","industry_cat","SurveyPeriod","HomeSubRegion","HOMEPC","participant_wt","ses","time_base_car","distance_base_car","time_base_walking","distance_base_walking","time_base_public.transport","distance_base_public.transport","time_base_other","distance_base_other","time_base_bicycle","distance_base_bicycle","time_scen_car","distance_scen_car","time_scen_walking","distance_scen_walking","time_scen_public.transport","distance_scen_public.transport","time_scen_other","distance_scen_other","time_scen_bicycle","distance_scen_bicycle","walk_base","walk_scen","walk_base_min"
"Y17H2810101P01","Y17H2810101",74,16,72,"male","employed","No",NA,"Technicians and Trades Workers","Construction","2017-18","MELB - middle",3196,69.63,8,9.33333333333333,46.9,0,0,0,0,0,0,0,0,9.33333333333333,46.9,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810101P02","Y17H2810101",71,16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3196,67.42,8,2.33333333333333,25.9,0,0,0,0,0,0,0,0,2.33333333333333,25.9,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810106P01","Y17H2810106",46,11,47,"male","employed","Yes",NA,"Professionals","Education and Training","2017-18","MELB - middle",3196,200.94,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810106P02","Y17H2810106",42,10,42,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3196,191.15,8,0,0,7,2.68,0,0,0,0,0,0,0,0,7,2.68,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810107P01","Y17H2810107",45,11,47,"female","employed","Yes",NA,"Labourers","Accommodation and Food Services","2017-18","MELB - middle",3196,199.15,8,14,133.49,0,0,0,0,0,0,0,0,14,133.49,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810107P02","Y17H2810107",43,10,42,"male","employed","Yes",NA,"Professionals","Manufacturing","2017-18","MELB - middle",3196,209.36,8,14,133.49,0,0,0,0,0,0,0,0,14,133.49,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810107P03","Y17H2810107",19,5,17,"male","employed","Yes",NA,"Labourers","Accommodation and Food Services","2017-18","MELB - middle",3196,230.99,8,7,52.12,0,0,0,0,0,0,0,0,7,52.12,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810109P01","Y17H2810109",47,11,47,"female","employed","No",NA,"Professionals","Health Care and Social Assistance","2017-18","MELB - middle",3196,64.22,8,4.08333333333333,15.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74909090909091,15.32,"No","No","No"
"Y17H2810109P02","Y17H2810109",42,10,42,"male","employed","Yes",NA,"Managers","Information Media and Telecommunications","2017-18","MELB - middle",3196,66.31,8,0.933333333333333,3.33,4.55,2.45,14,67.13,0,0,0,0,0,0,10.3775,5.78,14,67.13,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810110P01","Y17H2810110",44,10,42,"female","employed","Yes","Part time","Professionals","Education and Training","2017-18","MELB - middle",3196,64.79,8,7,53.18,0,0,0,0,0,0,0,0,7,53.18,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810111P01","Y17H2810111",36,9,37,"female","employed","Yes",NA,"Sales Workers","Financial and Insurance Services","2017-18","MELB - middle",3196,71.81,8,1.16666666666667,2.78,2.45,2.28,10.2666666666667,69.8,0,0,0,0,0,0,7.315,5.06,10.2666666666667,69.8,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810111P02","Y17H2810111",32,8,32,"male","employed","Yes",NA,"Technicians and Trades Workers","Retail Trade","2017-18","MELB - middle",3196,74.16,8,1.16666666666667,7.13,0,0,0,0,0,0,0,0,1.16666666666667,7.13,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810112P01","Y17H2810112",62,14,62,"male","employed","Yes",NA,"Sales Workers","Retail Trade","2017-18","MELB - middle",3196,58.38,8,12.8333333333333,55.69,4.66666666666667,2.21,4.08333333333333,34.9,0,0,0,0,12.25,53.46,4.66666666666667,2.21,4.08333333333333,34.9,0,0,1.41909090909091,2.23,"Yes","Yes","Yes"
"Y17H2810112P02","Y17H2810112",60,14,62,"female","employed","Yes",NA,"Clerical and Administrative Workers","Information Media and Telecommunications","2017-18","MELB - middle",3196,56.53,8,0,0,5.71666666666667,3.26,5.25,34.9,0,0,0,0,0,0,5.71666666666667,3.26,5.25,34.9,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810112P03","Y17H2810112",30,8,32,"female","employed","Yes",NA,"Labourers","Other Services","2017-18","MELB - middle",3196,71.79,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810114P01","Y17H2810114",27,7,27,"male","employed","Yes","Part time","Professionals","Public Administration and Safety","2017-18","MELB - middle",3196,282.82,8,14.8166666666667,45.58,0,0,0,0,0,0,0,0,12.8333333333333,40.62,0.21,0.12,0,0,0,0,3.08,4.84,"No","Yes","No"
"Y17H2810114P02","Y17H2810114",23,6,22,"female","employed","Yes",NA,"Professionals","Public Administration and Safety","2017-18","MELB - middle",3196,269.03,8,13.0666666666667,45.58,0,0,0,0,0,0,0,0,11.0833333333333,40.62,0.21,0.12,0,0,0,0,3.08,4.84,"No","Yes","No"
"Y17H2810115P01","Y17H2810115",57,13,57,"male","employed","No","Part time","Technicians and Trades Workers","Construction","2017-18","MELB - middle",3196,58.18,8,11.4333333333333,62.64,4.66666666666667,2.3,0,0,0,0,0,0,11.4333333333333,62.64,4.66666666666667,2.3,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810115P02","Y17H2810115",52,12,52,"female","unemployed","No","Full time","Not in Work Force","Not in Work Force","2017-18","MELB - middle",3196,56.33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810117P01","Y17H2810117",89,19,87,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3196,68.46,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810119P01","Y17H2810119",41,10,42,"male","employed","Yes",NA,"Professionals","Professional, Scientific and Technical Services","2017-18","MELB - middle",3196,67.22,8,0,0,4.08333333333333,3.47,7.35,40.34,0,0,0,0,0,0,4.08333333333333,3.47,7.35,40.34,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810120P01","Y17H2810120",64,14,62,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3196,157.91,8,8.16666666666667,25.52,0,0,0,0,0,0,0,0,5.83333333333333,22.26,5.705,3.26,0,0,0,0,0,0,"No","Yes","No"
"Y17H2810120P02","Y17H2810120",58,13,57,"female","employed","Yes",NA,"Managers","Public Administration and Safety","2017-18","MELB - middle",3196,164.14,8,8.16666666666667,25.51,0,0,0,0,0,0,0,0,5.83333333333333,22.26,5.6875,3.25,0,0,0,0,0,0,"No","Yes","No"
"Y17H2810121P01","Y17H2810121",34,8,32,"female","employed","Yes",NA,"Professionals","Health Care and Social Assistance","2017-18","MELB - middle",3196,243.58,8,8.16666666666667,98.68,0,0,0,0,0,0,0,0,7,97.7,1.715,0.98,0,0,0,0,0,0,"No","Yes","No"
