"persid","cluster_id","household_id","participant_id","age","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"y17h2810101p01",28,10101,1,74,"male",17,1,"Leisure",69.63,69.63,"car",0.5,19.74,"weekday",1,"65 plus",">10km","car",19.74,0.5,3.5,3.5
"y17h2810101p01",28,10101,1,74,"male",17,2,"Shopping",69.63,69.63,"car",0.333333333333333,8.77,"weekday",2,"65 plus","6-10km","car",8.77,0.333333333333333,2.33333333333333,2.33333333333333
"y17h2810101p01",28,10101,1,74,"male",17,3,"Shopping",69.63,69.63,"car",0.5,18.39,"weekday",3,"65 plus",">10km","car",18.39,0.5,3.5,3.5
"y17h2810101p02",28,10101,2,71,"female",17,4,"Shopping",67.42,67.42,"car",0.166666666666667,11.85,"weekday",1,"65 plus",">10km","car",11.85,0.166666666666667,1.16666666666667,1.16666666666667
"y17h2810101p02",28,10101,2,71,"female",17,5,"Shopping",67.42,67.42,"car",0.166666666666667,14.05,"weekday",2,"65 plus",">10km","car",14.05,0.166666666666667,1.16666666666667,1.16666666666667
"y17h2810106p02",28,10106,3,42,"female",17,6,"Shopping",191.15,191.15,"walking",0.5,1.34,"weekend day",1,"40 to 64","1-2km","walking",1.34,0.5,3.5,3.5
"y17h2810106p02",28,10106,3,42,"female",17,7,"Shopping",191.15,191.15,"walking",0.5,1.34,"weekend day",2,"40 to 64","1-2km","walking",1.34,0.5,3.5,3.5
"y17h2810107p01",28,10107,4,45,"female",17,8,"Leisure",199.15,199.15,"car",1,66.78,"weekend day",1,"40 to 64",">10km","car",66.78,1,7,7
"y17h2810107p01",28,10107,4,45,"female",17,9,"Leisure",199.15,199.15,"car",1,66.71,"weekend day",2,"40 to 64",">10km","car",66.71,1,7,7
"y17h2810107p02",28,10107,5,43,"male",17,10,"Leisure",209.36,209.36,"car",1,66.78,"weekend day",1,"40 to 64",">10km","car",66.78,1,7,7
